name,company,title,email,phone,whatsapp,telegram_username,industry,company_size,context,source,status
,УК «Жилищный фонд»,,info@uk-gf.ru,,,,Управляющая организация (Казань),,Файл: leadgem_gemini_new.xlsx,,
,УК «Партнер»,,ukpartner.rf@ya.ru,,,,Центр комплексного обслуживания ЖКХ (Воронеж),,Файл: leadgem_gemini_new.xlsx,,
,УК «КИТ-2»,,oookit2_2011@mail.ru,,,,Управляющая компания (Воронеж),,Файл: leadgem_gemini_new.xlsx,,
,«Системы пожарной безопасности»,,spb-samara@mail.ru,,,,Монтаж и сервис систем защиты (Самара),,Файл: leadgem_gemini_new.xlsx,,
,«Техносервис-Е»,,technoservise.e@gmail.com,,,,Обслуживание и ремонт лифтов (Екатеринбург),,Файл: leadgem_gemini_new.xlsx,,
,ООО «Бастион»,,info@bastion66.ru,,,,Обслуживание домофонов и систем связи (Екатеринбург),,Файл: leadgem_gemini_new.xlsx,,
,ООО «Просистемы»,,info@prosystema.ru,,,,Системы безопасности и коммуникаций (Самара),,Файл: leadgem_gemini_new.xlsx,,
,«ПожЭксперт»,,01@pogexpert.ru,,,,Противопожарные системы и аудит (Воронеж),,Файл: leadgem_gemini_new.xlsx,,
,ООО «Клининг-НН»,,info@клининг-нн.рф,,,,Профессиональный клининг (Нижний Новгород),,Файл: leadgem_gemini_new.xlsx,,
,«Простая уборка»,,cleaning@prostaya-uborka.ru,,,,"Клининговая компания, уборка офисов (Нижний Новгород)",,Файл: leadgem_gemini_new.xlsx,,
,ООО «Чистодел»,,admin@chistodel.com,,,,Мобильные бригады клининга (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,CleanHome,,Clean.home1307@gmail.com,,,,Клининговые услуги для бизнеса (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,ООО «Альбатрос»,,albatros_clean@mail.ru,,,,Профессиональная уборка и спецработы (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,Rubin,,Rubincar@mail.ru,,,,"Клининговая компания, штат 23 чел. (Казань)",,Файл: leadgem_gemini_new.xlsx,,
,7Clean,,7clean.kzn@gmail.com,,,,Клининг и мобильная уборка (Казань),,Файл: leadgem_gemini_new.xlsx,,
,NovaClean,,kazan@novaclean.ru,,,,Услуги клининга для юрлиц (Казань),,Файл: leadgem_gemini_new.xlsx,,
,APA-Service,,office@apa-service.ru,,,,Профессиональное обслуживание помещений (Казань),,Файл: leadgem_gemini_new.xlsx,,
,Daily Clean,,dailyclean.nc@yandex.ru,,,,B2B клининг и аутсорсинг персонала (Тюмень),,Файл: leadgem_gemini_new.xlsx,,
,Тюменская клининговая компания,,uborka72@mail.ru,,,,Профессиональная уборка и сервис (Тюмень),,Файл: leadgem_gemini_new.xlsx,,
,Агентство Чистоты,,mail@797875.ru,,,,Клининговые услуги (Красноярск),,Файл: leadgem_gemini_new.xlsx,,
,Клининг-Проект,,klining24@yandex.ru,,,,Профессиональная уборка (Красноярск),,Файл: leadgem_gemini_new.xlsx,,
,Clean Cheap,,bdv@cleancheap.ru,,,,Клининг для офисов и складов (Москва),,Файл: leadgem_gemini_new.xlsx,,
,Problesk,,info@problesk.com,,,,Уборка коммерческих помещений (Санкт-Петербург),,Файл: leadgem_gemini_new.xlsx,,
,Корпорация Клининга,,korporatsiaklininga@yandex.ru,,,,Уборка ЖК и офисных центров (Екатеринбург),,Файл: leadgem_gemini_new.xlsx,,
,«Блиц-Клининг»,,blic-cl@mail.ru,,,,Клининговые услуги (Челябинск),,Файл: leadgem_gemini_new.xlsx,,
,Логистический союз,,vlc-tk@mail.ru,,,,Региональная логистика и экспедирование (Воронеж),,Файл: leadgem_gemini_new.xlsx,,
,«Indigo Express»,,krasnodar@indigo-express.ru,,,,Курьерская служба и логистика (Краснодар),,Файл: leadgem_gemini_new.xlsx,,
,«Экспресс Точка Ру»,,36@123789.ru,,,,Региональная служба доставки (Воронеж),,Файл: leadgem_gemini_new.xlsx,,
,«Сити Рапид» (Самара),,smr@cityexpress.ru,,,,Экспресс-доставка документов и грузов,,Файл: leadgem_gemini_new.xlsx,,
,«Сити Рапид» (Краснодар),,krr@cityexpress.ru,,,,Курьерская доставка для бизнеса,,Файл: leadgem_gemini_new.xlsx,,
,NEGCO,,info@negco.ru,,,,Клининг,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.negco.ru/,email найден на официальном сайте/странице контактов
,PolaMoi,,info@polamoi.ru,,,,Клининг,,Город: Москва; Сайт: https://polamoi.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://polamoi.ru/kontakty/,email найден на официальном сайте/странице контактов
,Cleaning Plus,,info@clening-plus.ru,,,,Клининг,,Город: Москва; Сайт: https://cleaning-plus.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://cleaning-plus.ru/contact/,email найден на официальном сайте/странице контактов
,Группа КРИСТАЛЛ / Бизнес Инжиниринг,,info@group-crystal.ru,,,,Клининг,,Город: Москва; Сайт: https://group-crystal.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://group-crystal.ru/kontakty,email найден на официальном сайте/странице контактов
,ЭКОТЕХНОЛОГИЯ / iClean,,info@iclean.ru,,,,Клининг,,Город: Москва; Сайт: https://iclean.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://iclean.ru/contacts/,email найден на официальном сайте/странице контактов
,Чистая Москва,,info@ch-msk.ru,,,,Клининг,,Город: Москва; Сайт: https://ch-msk.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ch-msk.ru/kontakty/,email найден на официальном сайте/странице контактов
,ЭкоДом,,info@cleanecodom.ru,,,,Клининг,,Город: Москва; Сайт: https://cleanecodom.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://cleanecodom.ru/contacts/,email найден на официальном сайте/странице контактов
,Клининг Проф,,info@klining-kvartir-msk.ru,,,,Клининг,,Город: Москва; Сайт: https://klining-kvartir-msk.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://klining-kvartir-msk.ru/contact/,email найден на официальном сайте/странице контактов
,Служба бытового сервиса,,info@klining-moskva.ru,,,,Клининг,,Город: Москва; Сайт: https://klining-moskva.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://klining-moskva.ru/kontakty/,email найден на официальном сайте/странице контактов
,Cleanfield,,info@cleanfield.ru,,,,Клининг,,Город: Санкт-Петербург; Сайт: https://cleanfield.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://cleanfield.ru/kontakty/,email найден на официальном сайте/странице контактов
,Чистый Питер,,info@ch-spb.ru,,,,Клининг,,Город: Санкт-Петербург; Сайт: https://ch-spb.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ch-spb.ru/kontakty/,email найден на официальном сайте/странице контактов
,Проблеск,,info@problesk.com,,,,Клининг,,Город: Санкт-Петербург; Сайт: https://problesk.com/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://problesk.com/contact/,email найден на официальном сайте/странице контактов
,Альянс ИКС,,info@alliance-x.ru,,,,Клининг,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://alliance-x.ru/,email найден на официальном сайте/странице контактов
,Эксперт Клининг групп,,info@exclean.ru,,,,Клининг,,Город: Санкт-Петербург; Сайт: https://exclean.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://exclean.ru/contacts/,email найден на официальном сайте/странице контактов
,Альва Сфера,,info@alvasfera.ru,,,,Клининг,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://alvasfera.ru/,email найден на официальном сайте/странице контактов
,Свои Люди,,info@svlyudi.ru,,,,Клининг,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.svlyudi.ru/,email найден на официальном сайте/странице контактов
,AlpAir,,info@alp-clean.ru,,,,Клининг,,Город: Санкт-Петербург; Сайт: https://alp-clean.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://alp-clean.ru/kontakty/,email найден на официальном сайте/странице контактов
,КлинБиг,,info@cleanbig.ru,,,,Клининг,,Город: Санкт-Петербург; Сайт: https://cleanbig.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://cleanbig.ru/contact/,email найден на официальном сайте/странице контактов
,Медицинский центр Плаза,,info@medcentr-plaza.ru,,,,Медицина,,Город: Москва; Сайт: https://medcentr-plaza.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://medcentr-plaza.ru/kontakty/,email найден на официальном сайте/странице контактов
,ГУТА-КЛИНИК,,info@gutaclinic.ru,,,,Медицина,,Город: Москва; Сайт: https://gutaclinic.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://gutaclinic.ru/contact/,email найден на официальном сайте/странице контактов
,Мосмедпроф / ММП,,info@mmp-med.ru,,,,Медицина,,Город: Москва; Сайт: https://mosmedprof.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://mosmedprof.ru/contact/,email найден на официальном сайте/странице контактов
,МЕД-ДОБРО,,info@med-dobro.ru,,,,Медицина,,Город: Москва; Сайт: https://med-dobro.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://med-dobro.ru/kontakty/,email найден на официальном сайте/странице контактов
,МедПрофСервис,,info@med-klinika.moscow,,,,Медицина,,Город: Москва; Сайт: https://med-klinika.moscow/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://med-klinika.moscow/about/,email найден на официальном сайте/странице контактов
,Зилмед,,info@zilmed.ru,,,,Медицина,,Город: Москва; Сайт: https://www.zilmed.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.zilmed.ru/contacts/,email найден на официальном сайте/странице контактов
,Медицинский центр Лира,,info@medlira.ru,,,,Медицина,,Город: Москва; Сайт: https://medlira.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://medlira.ru/contacts/,email найден на официальном сайте/странице контактов
,Мед-Алтуфьево,,info@med-altufevo.ru,,,,Медицина,,Город: Москва; Сайт: https://med-altufevo.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://med-altufevo.ru/kontakty/,email найден на официальном сайте/странице контактов
,ЦАМ / Авиамед,,info@aviamed.ru,,,,Медицина,,Город: Москва; Сайт: https://aviamed.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://aviamed.ru/contacts/,email найден на официальном сайте/странице контактов
,Нейро-Плюс,,info@neiro-plus.ru,,,,Медицина,,Город: Москва; Сайт: https://neiro-plus.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://neiro-plus.ru/kontakty/,email найден на официальном сайте/странице контактов
,CMEDICAL,,info@cmedical.ru,,,,Медицина,,Город: Москва; Сайт: https://cmedical.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://cmedical.ru/contacts/,email найден на официальном сайте/странице контактов
,VitaMedPro,,info@vitamed-pro.ru,,,,Медицина,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.vitamedpro.ru/,email найден на официальном сайте/странице контактов
,COMMUNITY CLINIC,,info@communityclinic.ru,,,,Медицина,,Город: Санкт-Петербург; Сайт: https://communityclinic.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://communityclinic.ru/contacts/,email найден на официальном сайте/странице контактов
,СДК Клиника,,info@sdkclinic.ru,,,,Медицина,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://sdkclinic.ru/,email найден на официальном сайте/странице контактов
,МЕДИОНА ПАРНАС,,info@mediona.ru,,,,Медицина,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://mediona.ru/,email найден на официальном сайте/странице контактов
,Медицинский центр Велнес,,info@wellness.spb.ru,,,,Медицина,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://wellness.spb.ru/,email найден на официальном сайте/странице контактов
,Медицинский центр О-Три,,info@medicine-spb.ru,,,,Медицина,,Город: Санкт-Петербург; Сайт: https://www.medicine-spb.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.medicine-spb.ru/connect/,email найден на официальном сайте/странице контактов
,Медицинский центр ЭффМед,,info@effmed.ru,,,,Медицина,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://effmed.ru/,email найден на официальном сайте/странице контактов
,Медицинский центр Балтийский,,info@medb.pro,,,,Медицина,,Город: Санкт-Петербург; Сайт: https://medb.pro/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://medb.pro/kontakty/,email найден на официальном сайте/странице контактов
,X7 Clinical,,info@x7clinical.com,,,,Медицина,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://x7clinical.com/,email найден на официальном сайте/странице контактов
,Клиника Созвездие,,info@sozvezdie-med.ru,,,,Медицина,,Город: Санкт-Петербург; Сайт: https://sozvezdie-med.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://sozvezdie-med.ru/contact/,email найден на официальном сайте/странице контактов
,МЦ Ортотерапия,,info@mcorthotherapy.ru,,,,Медицина,,Город: Санкт-Петербург; Сайт: https://mcorthotherapy.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://mcorthotherapy.ru/contacts/,email найден на официальном сайте/странице контактов
,ЦМД СПб,,info@cmd-spb.ru,,,,Медицина,,Город: Санкт-Петербург; Сайт: https://cmd-spb.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://cmd-spb.ru/contacts,email найден на официальном сайте/странице контактов
,ЧОП ЛЕГИОН,,info@legion-op.ru,,,,Охрана,,Город: Москва; Сайт: https://legion-op.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://legion-op.ru/kontakty,email найден на официальном сайте/странице контактов
,ЧОО РВ,,info@choprv.ru,,,,Охрана,,Город: Москва; Сайт: https://choprv.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://choprv.ru/contacts/,email найден на официальном сайте/странице контактов
,ЧОП ФОБР,,fobr-info@druginachop.ru,,,,Охрана,,Город: Москва; Сайт: https://druginachop.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://druginachop.ru/o-nas/kontakty,email найден на официальном сайте/странице контактов
